"Address";"Partner ID"
0x254C489383994ce62c012fFA2D9AB858C416D55f;"DIRECT"
0x0D8B49bE1176b7c9436167A4FaA2C0F8547Aa7E7;"DIRECT"
0xf3f006BEE4E0bC67d346E31C4e565638f61D99B1;"DIRECT"
0x4523E85f34402702c1a98A9705Ee48edF7cEEE93;"DIRECT"
0x141132699b1E4DF0AFCBa1E60450138a47756e9c;"DIRECT"
0xf3f006BEE4E0bC67d346E31C4e565638f61D99B1;AMBASSADOR
0xeCFf34C282c48095bB00aF2CAE746F236f5523a8;"DIRECT"
0x3775bE3933525A25436e10447a595468319F860e;"DIRECT"
0x99884Ce6d11DD3eAC33514CD7a6695Ae9Ac162B1;"DIRECT"
0x141132699b1E4DF0AFCBa1E60450138a47756e9c;AMBASSADOR
0xf3f006BEE4E0bC67d346E31C4e565638f61D99B1;AMBASSADOR
0xf63Ac5BB60e82B93576547215077938387CfbCc1;"DIRECT"
0xf3f006BEE4E0bC67d346E31C4e565638f61D99B1;AMBASSADOR
0x7729108e74698109C5250d7280b3560734f1f83C;"DIRECT"
0xf500c39c70AcA21852B8476a5f06339fD9232DE9;"DIRECT"
0x9B7cB24F7ee022fe1c67199fCD99EAE415dDe47F;"DIRECT"
0x66c9e172017e0DE677c5D99006fa1E1ab5720F4D;"DIRECT"
0x52F58AD739e80dfDFb906b216C42c2025f72C6Ff;"DIRECT"
0x4EedD25A163f8676bE25e278A292594409FB52e6;"DIRECT"
0xa74E931C7B7c3B16A25A5cEb755b587DA5dBeaAA;AMBASSADOR
0xE30e636476ddaA45aB1C1f7737B6925a23d1E9a9;"DIRECT"
0xDD67D7a6A8817F5C54Dc282361Ac6db23aD87e97;AMBASSADOR
0xAAc22b2499C211246d045C81b6f7fA58a3E2d805;"DIRECT"
0xcbA24772A323b68c4B898F6fab09cd94Faa8428F;"DIRECT"
0x1893A4Ed8626b6CB55c11d6134Dfa9FE656cB15A;"DIRECT"
0x06caB7e3A5C2ddD0cEcb3E79BCDDd0564ce5bDa7;"DIRECT"
0x245c817bb7C5648cdadDC96CEe166173094391F6;"DIRECT"
0xE27AC59e661c09bD8cAb504eDBFb77e0Eec429Ab;"DIRECT"
0xB188007342764d0797c93E320752aDA8Bf4015B8;63c7fae097aa3
0x4303526B19cc228aB915d7917dcfdc8CDE64C8c8;"DIRECT"
0xa74E931C7B7c3B16A25A5cEb755b587DA5dBeaAA;AMBASSADOR
0x3A5a238621300838cBB52b4C32d652B0C7d8bB76;"DIRECT"
0xBf209D955d4263D442f6fdcDb479565B6feEfFea;"DIRECT"
0x2268120b496FAd6391B50989D0f8b4960D6bdB41;"DIRECT"
0x62beE234b4066af4709DeE5FD3FFCed6782f5C0D;"DIRECT"
0x76C4F218b740178Af32243fD2Ec6A4f3Fc8793c2;63c7fae097aa3
0xa7df3F8d3C426010B8D2Af1a232fEF416E1cd6CF;63c7fae097aa3
0x62beE234b4066af4709DeE5FD3FFCed6782f5C0D;AMBASSADOR
0x8571bBAe0bCe34a0425833A79e090149C75E56CA;"DIRECT"
0x3A5a238621300838cBB52b4C32d652B0C7d8bB76;AMBASSADOR
0x6e112ce63d4A8245CFC3dFCA81e2c1B7476296a7;63c7fae097aa3
0xa74E931C7B7c3B16A25A5cEb755b587DA5dBeaAA;AMBASSADOR
0xa28f02baea8fe6cAA7A91BD1CA76b4103a7A5868;63c7fae097aa3
0xc1928248c5F2c87dc9F349dF16A8C5f12BCcE025;63c7fae097aa3
0x49D74c87ddAdaD0A39781f5f989A2DEB63dFd899;"DIRECT"
0x7cc05964cdba354e80758f2cd6ddb509bc4b8dba;63c7fae097aa3
0xE2e41b4D2E4ab831052cDBe8d4FBA111Bd215F59;"DIRECT"
0xe73F3773585d32f2557837479E5DF6280DDF3b2F;63c7fae097aa3
0xa679edc88445e8bb3710b3ebcfdf39780024005d;63c7fae097aa3
0xe93a494F06e82B189866061792f2D21E8b6438f0;"DIRECT"
0xE669fBE8847c9E9EB84DB4d5e7B1A80B082Add9b;"DIRECT"
0x30bD0ada447E3d5DC3Ab5a0f7A18656f42f6604D;"DIRECT"
0xDD2123d00b683e2FEd07Ff862E02891b3645b319;"DIRECT"
0x7394DD6e970ecce75b1C36631c170D66aa172Fc6;AMBASSADOR
0x3b9f52DB5D9647547749e05697d413b8862DAda2;"DIRECT"
0x918522A9b09c9a672b6535D656Bd7B353ADBBbBe;"DIRECT"
0x48db14308d65be4f1338739F1537cbE2bFC04E5A;AMBASSADOR
0x985c896b21f9d4e0c948705015184935c4459ec9;"DIRECT"
0x06c8FcDB705473E146C82acEbb77B70e1C879eB0;"DIRECT"
0xe9E5A2E72D9F99b6F2F522cd6F8B4c88a3Da4A8E;"DIRECT"
0x0436E2E4EA467f9958403dc56635404EE1bb1E94;"DIRECT"
0x985c896b21f9d4e0c948705015184935c4459ec9;AMBASSADOR
0xaD24Ff5b503be5b6DD3936F842A252b0843AB808;"DIRECT"
0x88B8dD3E10788B48314567F512CD3180716F8D5D;"DIRECT"
0x446f0b888505E677Df5b2AE3dBaC567F5CC94B35;63c7fb6887816
0x850Fdab7c76CDe1de8A0e4601Cfd125cB28619aE;"DIRECT"
0x0436E2E4EA467f9958403dc56635404EE1bb1E94;AMBASSADOR
0x1C87869225399b62206cFCeD6Fe883d0ac725C11;"DIRECT"
0x63978eA73b266DB87e2A3eedfE29091B2d4976A2;"DIRECT"
0x850Fdab7c76CDe1de8A0e4601Cfd125cB28619aE;AMBASSADOR
0x05d9CeF894CaB5C332925c843B79cE51629F182f;AMBASSADOR
0x1C87869225399b62206cFCeD6Fe883d0ac725C11;AMBASSADOR
